Time,Class,Confidence
2026-07-06 16:42:58,Fire,0.6779500246047974
2026-07-06 16:43:40,Fire,0.6040099263191223
2026-07-06 16:44:22,Fire,0.543999433517456
2026-07-06 16:47:21,Fire,0.5147885680198669
2026-07-06 16:52:13,Fire,0.55
2026-07-10 22:37:10,Fire,0.75
2026-07-10 22:37:24,Fire,0.69
2026-07-14 16:56:21,Fire,0.64
2026-07-14 16:58:07,Fire,0.64
2026-07-14 17:01:21,Fire,0.55
2026-07-14 17:03:21,Fire,0.6
2026-07-14 17:06:20,Fire,0.68
2026-07-14 17:19:46,Fire,0.63
2026-07-14 18:01:52,Fire,0.68
2026-07-14 18:13:59,Fire,0.61
2026-07-14 18:14:36,Fire,0.71
2026-07-14 18:16:31,Fire,0.68
2026-07-14 18:26:22,Fire,0.64
2026-07-14 18:32:31,Fire,0.63
2026-07-14 18:52:07,Fire,0.55
2026-07-14 19:16:35,Fire,0.7
